workload_id,workload_name,workload_type,location_id,submitted_at,earliest_start,baseline_start,duration_hours,power_requirement_kw,deadline,priority,priority_rank,flexibility_level,max_delay_hours,interruptible,sla_required,status,data_source
WL-001,Customer support inference 01,REALTIME_INFERENCE,MY-JHR-DC1,2026-08-01T07:00:00+08:00,2026-08-01T08:00:00+08:00,2026-08-01T08:00:00+08:00,1,440,2026-08-01T09:00:00+08:00,CRITICAL,4,FIXED,0,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-002,Fraud scoring batch 02,BATCH_INFERENCE,MY-JHR-DC1,2026-07-30T12:00:00+08:00,2026-07-30T13:00:00+08:00,2026-07-30T14:00:00+08:00,2,460,2026-07-30T20:00:00+08:00,HIGH,3,LIMITED,4,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-003,Vision model training 03,MODEL_TRAINING,MY-JHR-DC1,2026-07-28T05:00:00+08:00,2026-07-28T07:00:00+08:00,2026-07-28T08:00:00+08:00,4,730,2026-07-28T22:00:00+08:00,MEDIUM,2,FLEXIBLE,10,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-004,Training data preprocessing 04,DATA_PREPROCESSING,MY-JHR-DC1,2026-07-27T17:00:00+08:00,2026-07-27T18:00:00+08:00,2026-07-27T20:00:00+08:00,2,250,2026-07-28T06:00:00+08:00,MEDIUM,2,FLEXIBLE,8,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-005,Document embedding refresh 05,EMBEDDING_GENERATION,MY-JHR-DC1,2026-08-01T12:00:00+08:00,2026-08-01T13:00:00+08:00,2026-08-01T15:00:00+08:00,2,300,2026-08-02T01:00:00+08:00,LOW,1,FLEXIBLE,8,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-006,LLM fine tuning 06,MODEL_TRAINING,MY-JHR-DC1,2026-07-30T08:00:00+08:00,2026-07-30T09:00:00+08:00,2026-07-30T10:00:00+08:00,6,960,2026-07-30T20:00:00+08:00,HIGH,3,LIMITED,4,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-007,Demand forecast inference 07,BATCH_INFERENCE,MY-JHR-DC1,2026-07-28T18:00:00+08:00,2026-07-28T19:00:00+08:00,2026-07-28T20:00:00+08:00,3,630,2026-07-29T09:00:00+08:00,MEDIUM,2,FLEXIBLE,10,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-008,Model artifact validation 08,BACKUP_VALIDATION,MY-JHR-DC1,2026-07-27T16:00:00+08:00,2026-07-27T18:00:00+08:00,2026-07-27T21:00:00+08:00,1,150,2026-07-28T06:00:00+08:00,LOW,1,FLEXIBLE,8,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-009,Customer support inference 09,REALTIME_INFERENCE,MY-JHR-DC1,2026-08-01T13:00:00+08:00,2026-08-01T15:00:00+08:00,2026-08-01T15:00:00+08:00,2,460,2026-08-01T17:00:00+08:00,CRITICAL,4,FIXED,0,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-010,Fraud scoring batch 10,BATCH_INFERENCE,MY-JHR-DC1,2026-07-30T09:00:00+08:00,2026-07-30T13:00:00+08:00,2026-07-30T14:00:00+08:00,2,580,2026-07-30T22:00:00+08:00,HIGH,3,LIMITED,6,NO,YES,SCHEDULED,SIMULATED_MVP_V1
